There were varying degrees of Romanization throughout Roman Dacia.	達契亞行省各處都有不同程度的羅馬化。
This processing method was perfected near the end of the Han Dynasty (206 BCE-220 CE) and produced a dried tea that would be classified today as "green tea" and quite similar to modern Japanese sencha.	這種加工方法在漢朝末期（西元前 206 年至西元 220 年）已臻至完美，並生產出一種乾茶，今天被歸類為「綠茶」，與現代日本煎茶非常相似。
For consumption, dried tea leaves were either decocted with water around with other herbs, or ground into a powder to be taken straight, or in a liquid in the manner of matcha.	食用時，乾茶葉可用水與其他草藥一起調製，也可以直取研磨成粉末，或以抹茶的方式在液體中。
With the increase of tea's use in Chinese herbology, production methods changed, where the processed green tea leaves were not immediately dried after steaming.	隨著中國草藥學中葉愈來愈廣泛使用茶，生產方法發生了變化，其中加工過的綠茶葉在蒸煮後立即乾燥。
Rather the steamed tea leaves were first pulverized into a paste form, with the paste then formed in moulds and slowly dried into brick tea, a technique well described by Lu Yu in his work The Classic of Tea.	相反，蒸熟的茶葉首先被粉碎成糊狀，然後糊狀物在模具中形成並慢慢乾燥成磚茶，這是陸羽在他的作品「茶經」中詳細描述的技術。
Tender leaves and leaf buds were generally not used, as older mature tea leaves were preferred for tea production.	通常不使用嫩葉和葉芽，因為較老的成熟茶葉是茶葉生產的首選。
Some tea bricks were also produced from mature whole leaves, which typically required the use of a cooked rice slurry (米湯) to bind the tea brick together.	一些茶磚也是由成熟的整片葉子製成的，這通常需要使用煮熟的米漿（米湯）將茶磚黏合在一起。
The preference of producing tea in brick form possibly stems from the fact that it can be more easily transported and stored.	生產磚砌茶葉的偏好可能源於可以更容易地運輸和儲存的事實。
The use of steam in fixation (殺青) of tea leaf enzymes is an important step in processing tea, with the leaves quickly cooled down and then undergoing further processing.	使用蒸青（殺青）茶葉酶是加工茶葉的重要步驟，過程中葉子迅速冷卻，然後進行進一步加工。
The less tightly controlled methods of it in the past resulted in the creation of "yellow tea" when the tea leaves were over-steamed for fixation or were not quickly spread out, doused with water and cooled.	當茶葉被過度蒸青或未迅速攤開，用水澆滅並冷卻時，過去不太嚴格控制的方法導致產生「黃茶」。
Although green tea was the most popular in Lu Yu's time, he personally considered yellow tea to be superior to green.	雖然陸羽時代綠茶最受歡迎，但他個人認為黃茶優於綠茶。
Even when the leaves were quickly cooled, if they are left in piles (渥堆) for too long before processing, the leaves will begin to undergo microbial fermentation to produce "post-fermented tea".	即使葉子快速冷卻，如果在加工前葉子疊成堆（渥堆）太久，葉子也會開始經歷微生物發酵而產生「發酵後茶」。
This technique is somewhat similar to composting, albeit tightly controlled, and still used in the production of Liu'an tea (安徽六安籃茶) and was more recently introduced for the production of the "ripe" type pu-erh tea.	這種技術有點類似於堆肥，儘管受到嚴格控制，並且仍然用於生產安徽六安茶（安徽六安籃茶），並且最近被引入用於生產「成熟」型普洱茶。
The production of tea in brick forms and their storage also resulted in another type of post-fermented tea, which was produced by aging.	磚狀茶葉的生產和儲存也導致採用陳放所產生的另一種類型黑茶 (post-fermented tea)。
The long transport and storage times of the day unwittingly allowed the tea bricks to undergo prolonged exposure to the elements and to various microflora, which resulted in the aging, oxidation, and fermentation of green brick teas.	一天中漫長的運輸和儲存時間無意中使茶磚長時間暴露於元素和各種微生物群落中，導致綠磚茶的老化、氧化和發酵。
A brick of green tea that had been stored and aged into post-fermented tea was charred over charcoal to rid it of the layer of detritus, dust, and shiny multicoloured growths before being broken down into a powder, cooked, and then consumed.	已經儲存並陳放成發酵後茶的綠茶磚在木炭上燒焦，以清除碎屑、灰塵和閃亮的多色生長物，然後被分解成粉末、煮熟，然後食用。
By the end of Tang Dynasty (618-907CE) green, yellow, and post-fermented tea was commonly used in China and moved from purely being used in herbology to becoming a beverage drunk for pleasure.	到唐朝末期（西元 618-907 年），綠茶、黃茶和黑茶在中國被普遍使用，並從純粹草藥用途轉變為飲料。
New Directions' director Will Schuester (Matthew Morrison) suspects that cheerleading coach Sue Sylvester (Jane Lynch) has been colluding with rival glee clubs, and visits the Jane Addams Academy for girls recently released from juvenile detention.	《New Directions》的總監 Will Schuester (Matthew Morrison 飾) 懷疑啦啦隊教練 Sue Sylvester (Jane Lynch 飾) 一直在與競爭對手的歡樂俱樂部勾結，並造訪 Jane Addams Academy 學院，為最近從少年拘留所釋放的女孩提供服務。
When their club director Grace Hitchens (Eve) reveals the extent of the school's under-funding, Will invites her club to perform in the McKinley High auditorium.	當他們的俱樂部總監 Grace Hitchens (Eve 飾) 透露學校資金不足的程度時，Will 邀請她的俱樂部在 McKinley 高中禮堂表演。
Will is intimidated by their opposition, but Rachel (Lea Michele) assures him that the girls are using the power of "hairography"—frequent, dramatic hair-tossing—to distract from the fact their singing and dancing ability is limited. Will purchases wigs for New Directions and has them utilize hairography themselves, performing a mash-up of "Hair" and "Crazy in Love".	Will 被她們的反對嚇倒了，但 Rachel (Lea Michele 飾) 向他保證，女孩們正在利用「髮型」的力量，這使頭髮遭受頻繁、戲劇性的折騰，但可用來分散她們的歌唱和舞蹈能力有限的注意力。Will 為《New Directions》購買假髮，並讓它們自己使用髮型，進行「頭髮」和「瘋狂的愛情」的混搭。
Dalton Rumba (Michael Hitchcock), glee club director at Haverbrook School for the Deaf, feels slighted by the invitation Will extended to the Jane Addams Academy, and arranges for his own club to also perform at McKinley High.	Dalton Rumba (Michael Hitchcock 飾) 是哈弗布魯克聾人學校的歡樂俱樂部主任，他對 Will 向 Jane Addams 學院發出的邀請感到輕視，並安排自己的俱樂部也在 McKinley 高中演出。
His club duets with New Directions on John Lennon's "Imagine", and Will realizes that the new mash-up and hairography routine is not working.	他的俱樂部與《New Directions》進行 John Lennon 的「Imagine」二重唱，Will 意識到新的混搭和髮型不起作用。
He removes it from the club's set-list, replacing it with a performance of "True Colors".	他將其從俱樂部的賽程表中刪除，取而代之的是「True Colors」的表演。
Unbeknownst to Will, Sue reveals two songs from New Directions' line-up for sectionals to Grace and Dalton, suggesting they have their own clubs perform them to gain an edge in the competition.	Will 不知道的是，Sue 向 Grace 和 Dalton 透露了《New Directions》的兩首歌曲，暗示他們有自己的俱樂部表演，以在比賽中佔據優勢。
Quinn (Dianna Agron) begins to doubt her decision to give her baby to Will's wife Terri (Jessalyn Gilsig), and re-considers her stance on raising the baby with Puck (Mark Salling) instead of Finn (Cory Monteith).	Quinn (Dianna Agron 飾) 開始懷疑她把孩子交給 Will 的妻子Terri (Jessalyn Gilsig 飾) 的決定，並重新考慮她與派 Puck (Mark Salling 飾) (而不是 Finn (Cory Monteith 飾)) 一起撫養孩子的立場。
She tells Terri she wants to keep the baby, but in an effort to change her mind, Terri's sister Kendra (Jennifer Aspen) has Quinn babysit her three unruly sons.	她告訴 Terri 她想保住孩子，但 Terri 的妹妹 Kendra (Jennifer Aspen 飾) 為了她的改變主意，於是讓 Quinn 照顧她的三個不守規矩的兒子。
Quinn invites Puck to babysit with her and the two bond, however when Quinn discovers that Puck spent the evening sexting his ex-girlfriend Santana (Naya Rivera), she re-commits to having the baby adopted, believing her daughter deserves a better father.	Quinn 邀請 Puck 與她和兩人一起照看孩子，然而當 Quinn 發現 Puck 花了一整晚的時間與他的前女友 Santana (Naya Rivera 飾) 發生性關係時，她再次承諾收養孩子，相信她的女兒應該有更好的父親。
Kurt (Chris Colfer) gives Rachel a make-over, ostensibly to help her attract Finn, but in reality attempting to sabotage her chances with him.	Kurt (Chris Colfer 飾) 給 Rachel 改頭換面，表面上是為了協助她吸引 Finn，但實際上卻試圖破壞倆人相處的機會。
Finn is unimpressed with Rachel's new look before telling her he remembered having the conversation with Kurt about what he liked in girls.	Finn 對 Rachel 的新造型並不感興趣，然後告訴她，他記得和 Kurt 談論過他喜歡的女孩類型。
Rachel confronts Kurt, stating that even if he is in love with Finn, she will always have a better chance "because [she's] a girl".	Rachel 質問 Kurt 特，說即使他愛上了 Finn，她也總會有更好的機會，「因為她是個女孩」。
But Kurt tells her that they are both kidding themselves: Finn is in love with Quinn and nothing will change that.	但 Kurt 特告訴她，他們都在開玩笑：Finn 愛上了 Quinn，沒有什麼能改變這一點。
"Hairography" was written by series creator Ian Brennan, and directed by Bill D'Elia.	《Hairography》由系列創作者 Ian Brennan 編劇，Bill D'Elia 執導。
Recurring characters who appear in the episode are glee club members Brittany (Heather Morris), Santana Lopez (Rivera), Mike Chang (Harry Shum Jr.) and Matt Rutherford (Dijon Talton), Terri's sister Kendra Giardi (Aspen), Kendra's husband Phil (Michael Loeffelholz), and their triplet sons (Aidan, Ethan and Ben Freedman).	劇集中反覆出現的角色是歡樂俱樂部成員 Brittany (Heather Morris 飾)、Santana Lopez (Rivera 飾)、Mike Chang (Harry Shum Jr. 飾)、Matt Rutherford (Dijon Talton 飾)、Terri's sister Kendra Giardi (Aspen 飾)、Kendra's husband Phil (Michael Loeffelholz 飾) 和他們的三胞胎兒子 (Aidan、Ethan和 Ben Freedman 飾)。
Hitchcock guest-stars as rival glee club director Dalton Rumba, and rapper Eve plays another club director, Grace Hitchens.	Hitchcock 客串出演競爭對手歡樂俱樂部總監 Dalton Rumba，饒舌歌手 Eve 飾演另一位俱樂部總監 Grace Hitchens。
So You Think You Can Dance contestants Katee Shean, Kherington Payne and Comfort Fedoke appear as members of Grace's club.	因此，《You Think You Can Dance》的參賽者 Katee Shean、Kherington Payne 和 Comfort Fedoke 以 Grace 俱樂部的成員之姿出現。
Eve was contracted to appear in two episodes of Glee, having been offered the role of Grace after Whitney Houston declined to appear.	在 Whitney Houston 拒絕出演後，Eve 被簽約出演兩集《歡樂合唱團》，獲得 Grace 的角色。
Discussing her casting, Eve stated: "I got asked and I'd heard the buzz about the show.	在談到她的選角時，Eve 說：「我被問到，我聽到了關於這部劇的各種異論。」
SH-58 was first commissioned some time between March 1, 1930 and December 1, 1931.	SH-58 在 1930 年 3 月 1 日至 1931 年 12 月 1 日之間首次投入使用。
The original extent of the route was much shorter than the present highway.	路線的原始範圍比現在的高速公路短得多。
In 1931, SH-58 was a dirt road extending from SH-8 east of Fairview north to Ringwood.	1931 年，SH-58 是一條從 Fairview 以北延伸到 Ringwood 的 SH-8 的土路。
Prior to receiving the SH-58 designation, this section of road was part of US-164 and the first SH-13.	在獲得 SH-58 指定之前，這段路是 US-164 和第一條 SH-13 的一部分。
On May 29, 1930, AASHO approved an extension of US-60 that replaced US-164.	1930 年 5 月 29 日，AASHO 批准了 US-60 的延期，取代了 US-164。
When US-60 replaced US-164 through the area, it was changed to the more westerly route it takes in the present day.	當 US-60 取代 US-164 通過該地區時，它被改為今天更向西的路線。
The section of old U.S. highway that no longer had a designation became SH-58.	不再有名稱的舊美國高速公路部分成為 SH-58。
Throughout the 1930s, SH-58 was expanded in both directions.	在整個 1930 年代，SH-58 雙向都有擴展。
The first addition to the highway came during the first half of 1932, when the highway was extended north to Helena.	高速公路的第一次擴建是在 1932 年上半年，當時高速公路向北延伸至 Helena。
No east–west highway existed at this point yet, leading to a spur end.	此時還沒有東西向高速公路，導致支線末端。
The highway was extended to the south, replacing SH-44, to Canton on March 29, 1937. SH-58 was extended north to the Kansas state line sometime between April 1937 and April 1938.	1937 年 3 月 29 日，高速公路向南延伸，取代 SH-44，通往坎頓 (Canton)。SH-58 在 1937 年 4 月至 1938 年 4 月的某個時候向北延伸至堪薩斯州 (Kansas) 線。
This final extension brought SH-58's northern section to its present-day termini, and no major changes to the northern section have occurred since.	最後的延伸使 SH-58 的北段成為現在的終點站，此後北段沒有發生重大變化。
SH-58's southern section was first established on October 16, 1945, when SH-54 was given a new alignment further to the west; its old alignment was redesignated as SH-58.	SH-58 的南段最初建立於 1945 年 10 月 16 日，當時 SH-54 被賦予了進一步向西的新路線；它的舊路線被重新命名為 SH-58。
The original routing of SH-58's southern section began at US-277 in Cyril, continued west through Apache, and turned north at the present-day western intersection of with SH-19.	SH-58 南段的原始路線始於西里爾 (Cyril) 的 US-277，繼續向西穿過阿帕奇，並在今天與 SH-19 的西部交叉口向北轉彎。
SH-58 continued north along its present alignment to Hydro, where it ended at US-66/SH-1.	SH-58 繼續向北沿著目前的路線延行至海德羅 (Hydro)，並在此處以 US-66 / SH-1 結束。
In 1955, SH-19 was established through southern Caddo County, taking over the east–west section of SH-58.	1955 年，建造的 SH-19 通過卡多郡 (Caddo County) 南部，銜接 SH-58 的東西向路段。
Thus, SH-58 was truncated to where it intersected with SH-19 (the present day western end of their concurrency).	因此，SH-58在與SH-19相交的位置處 (現在並行的西端) 截斷。
SH-58 was extended to its present terminus north of Hydro the next year.	第二年，SH-58 被延長到海德羅 (Hydro) 以北的現在終點站。
The highway was further extended in 1964, bringing the southern terminus to its present location near Medicine Park.	高速公路於 1964 年進一步延伸，將南部終點站帶到現在的 Medicine Park 附近。
No further routing changes have occurred since then.	此後，沒有進一步的路線更改。
Live at Wembley was filmed at the London's Wembley Arena show of the Dangerously in Love Tour, Beyoncé's first international solo tour, on November 10, 2003.	《Live at Wembley》於 2003 年 11 月 10 日在倫敦溫布利體育館 (Wembley Arena) 的《危險愛情之旅》(Dangerously in Love Tour) 演出中拍攝，這是 Beyoncé (碧昂斯) 的首場國際個人巡演。
The tour supported her debut solo album, Dangerously in Love (2003).	這次巡演成為她首張個人專輯《Dangerously in Love》(2003) 的最佳宣傳。
Most of the songs on Live at Wembley originate from that album, but it also contains a medley of past songs by her former group Destiny's Child and two soundtrack singles: "Work It Out" and "Summertime".	《Live at Wembley》的大部分歌曲都源自那張專輯，但也包含了她前樂隊 Destiny's Child 過去的歌曲和兩首原聲帶單曲：《Work It Out》和《Summertime》。
The second disc of Live at Wembley contains three previously unreleased studio recorded songs, including a cover of Rose Royce's "Wishing on a Star", and one remix each of "Crazy in Love", "Baby Boy" and "Naughty Girl".	《Live at Wembley》的第二張唱片包含三首以前未發行的錄音室錄製的歌曲，包括翻唱 Rose Royce 的《Wish on a Star》，以及混音版《Crazy in Love》、《Baby Boy》和《Naughty Girl》。
Behind-the-scenes footage can be also seen on the DVD.	在 DVD 上也可以看到幕後花絮。
The concert audio was mixed by Rick Camp, the same engineer who mixed at the concert venues.	音樂會音訊由 Rick Camp 混音，他是在音樂會場地混音的工程師。
It is uncommon for mix engineers to specialize in both live and recorded mixing.	混音工程師專門從事現場混音和錄音混音並不常見。
For Camp, "Mixing Beyoncé is a pleasure because she's a real singer and makes it easy.	對於 Camp 來說，「與 Beyoncé 混音是一種樂趣，因為她是一位真正的歌手，並且輕鬆自在。
There is hardly an overdub on this project — it's 95 percent live Beyoncé." He further talked about the collaboration with Beyoncé with Mix magazine, saying: "In my 22 years of mixing, I've never come across anyone who could deliver like she does: vocally and her ability to do a show.	這項現場工作幾乎沒有過度配音，是 95% 的現場 Beyoncé」。他進一步談到了與 Beyoncé 與《Mix》雜誌的合作，他說：「在我 22 年的混音生涯中，我從未遇到過任何能像她一樣美聲和秀場表演的能力俱佳的人。
I've seen this young woman run across a 60-foot stage, hit every note and never miss a thing.	我見過這位年輕女子跑過 60 英尺高的舞臺，每個音符完美詮釋，從不錯過任何細節。
And that makes my job so much easier."	這讓我更輕鬆完成工作。」
On stage, Beyoncé was backed by several male and female dancers performing choreography during the show.	在舞臺上，Beyoncé 在演出期間獲得幾位男女舞者傾力合作編舞與表演。
DJ Diamond who served as a DJ during the performances and a backing band provided the music.	DJ Diamond 在演出期間擔任 DJ，並由一支後援樂隊提供音樂。
The performance starts with footage of the crowd during the concert cheering before the appearance of Beyoncé.	表演從演唱會期間人群在  Beyoncé  出現之前歡呼的鏡頭開始。
The curtains are lifted to reveal the stage and Beyoncé appears in red clothes hanging upside down while being taken to a sofa on the stage with a harness singing "Baby Boy".	幕簾被掀起，露出舞臺，Beyoncé 穿著紅色的衣服，用背帶倒掛著帶到舞臺上的沙發上，唱著「Baby Boy」。
She is backed by a big screen and several dancers on stage who perform a choreography around her.	她身後有一個大螢幕和舞臺上圍繞著她伴舞的幾位舞者。
She later starts dancing with them as the song plays and a breakdown towards the end is also featured.	後來，當歌曲播放時，她開始與舞群一起跳舞，並且朝向結尾的分解也是特色。
She asks from the girls in the crowd to sing to "Naughty Girl" as she dances with background dancers while the words "Naughty Girl" are displayed on the screen behind her.	隨著與背景舞者一起跳舞，同時《Naughty Girl》的字樣顯示在她身後的螢幕上，她請人群中的女孩唱《Naughty Girl》。
Towards the end of the song she performs portions of Vanity 6's song "Nasty Girl" (1982) as a short dance break.	在歌曲的結尾，她表演了 Vanity 6 的歌曲《Nasty Girl》(1982) 的部分內容，作為短暫的舞蹈休息。
The lights are turned off and later silhouettes of Beyoncé and her dancers appear performing a choreography in front of the screen which is colored white while a backing track is played.	燈光被關閉，Beyoncé 和她的舞者的剪影出現在白色螢幕前表演編舞，同時播放背景音樂。
Stelmach's policy on health care was highlighted by his removal of the province's health care premiums effective the end of 2008.	Stelmach 的醫療保健政策因從 2008 年底開始取消該省的醫療保健保費而受到關注。
Critics had denounced the premiums as being regressive, both because they were the same amount regardless of the payer's income and because people with better-paying jobs often had their premiums covered by their employer.	批評者譴責這些保費會遞減，因為無論付款人有多少收入，保費都相同，而且擁有更高薪水工作的人的保費通常欲由僱主支付。
The opposition Liberal and New Democratic parties had long called for their removal.	反對黨自由黨和新民主黨長期以來一直呼籲將其撤職。
This elimination was announced in a throne speech immediately before the dissolution of the legislature for the 2008 election, although it was initially promised to take effect by 2012.	健保費取消是在 2008 年立法機關解散前夕的王權演講中宣佈的，儘管最初承諾在 2012 年之前生效。
During this campaign, Stelmach promised to increase the capacity of Alberta universities to train doctors and nurses over four years, eventually resulting in the graduation of 225 more doctors, 350 more registered nurses, and 220 licensed practical nurses.	在這次競選期間，Stelmach 承諾在四年內提高亞伯達 (Alberta) 大學培訓醫生和護士的能力，最終成果有 225 名醫生畢業，350 名註冊護士和 220 名持牌執業護士。
After the registrar of the Alberta College of Physicians and Surgeons called the plan unfeasible, Health Minister Dave Hancock clarified that most of the increase would in fact come from the immigration of foreign doctors to Alberta, rather than from in-province training.	在亞伯達省內科醫生和外科醫生學院的註冊長宣布該計劃不可行之後，衛生部長 Dave Hancock 澄清說，大部分成長實際上將來自外國醫生移民到亞伯達省，而不是來自省內培訓。
Following the election, Stelmach's new Minister of Health, Ron Liepert, released the government's new health plan.	選舉結束後，Stelmach 的新任衛生部長 Ron Liepert 發佈了政府的新健康計劃。
In it, Liepert refused to characterize the problems in the health care system as being the result of doctor shortages, and instead promised structural reforms.	在健康計劃中，Liepert 拒絕將醫療保健系統的問題描述為醫生短缺的結果，而是承諾進行結構性改革。
He indicated that these may include consolidating health authorities, closing rural hospitals, and de-listing some health services from coverage under the province's public health insurance scheme.	他指出，這些措施可能包括合併衛生部、關閉農村醫院，以及將一些衛生服務從該省公共醫療保險計劃的覆蓋範圍中刪除。
In May, the government took the first step in implementing these structural reforms by combining the province's nine health authorities into one health "superboard".	今年 5 月，政府邁出了實施這些結構性改革的第一步，將全省的九個衛生部門合併為一個衛生「超級委員會」。
In June 2008, three senior health officials announced that they would be leaving the province's employment at the expiration of their contracts in August.	2008 年 6 月，三名高級衛生官員宣布，他們將在 8 月合約到期時離開該省的工作崗位。
Liepert blamed their departures on better offers from other employers, although New Democrat leader Brian Mason speculated that the government's health restructuring may have been to blame.	Liepert 將他們的離職歸咎於其他雇主提供更好的報價，儘管新民主黨領袖 Brian Mason 推測政府的健康重組可能是罪魁禍首。
Detractors pointed out that the optics of allowing the employees to depart for more money elsewhere soon after the government had approved a substantial pay hike for cabinet ministers were not good.	批評者指出，在政府批准內閣部長大幅加薪後不久，允許員工離開其他地方以獲得更多資金的前景並不好。
As the province's fiscal situation worsened in late 2008, the government adapted its health policy.	隨著該省的財政狀況在2008年底惡化，政府調整了其健保政策。
In December, Liepert announced a new seniors drug plan that made drugs free for seniors making less than $21,325 but required those making more to pay as much as $7,500 for their drugs.	去年 12 月，Liepert 宣佈了一項新的年長者藥物計劃，該計劃為收入低於 21,325 美元的年長者免費提供藥物，但要求收入更高的人為他們的藥物支付高達 7,500 美元的費用。
In response to protests from seniors, he amended the plan in April 2009 to reduce both the income level at which seniors would have to start paying and the amount which those seniors would have to pay.	為了回應年長者的抗議，他在 2009 年 4 月修改了該計劃，降低年長者必須開始支付的收入水準和年長者必須支付的金額。
Liepert said that the plan, $10 million more expensive than the one he had announced in December, would see 60% of seniors pay less than they did under the status quo.	Liepert 說，該計劃比他在 12 月宣布的計劃費用高出 1000 萬美元，將使 60% 的年長者支付的費用低於他們在現狀的價格。
The same month, Stelmach's government's budget revealed changes to which medical services it would cover: those de-listed included chiropractic services, at an annual savings of $53 million, and sex change operations, at an annual savings of $700,000.	同月，Stelmach 政府的預算披露該計劃將承保的醫療服務變化，不在承保範圍內的項目包括：每年節省 5300 萬美元的脊椎按摩療法服務，以及每年節省 70 萬美元的變性手術。
While the Canada Health Act requires the federal government to financially penalize provinces that do not support all "medically necessary" procedures, Liepert maintained that the de-listed services were not "medically necessary" from the perspective of the Act, and said that he anticipated no trouble from the federal government.	雖然《加拿大健保法》(Canada Health Act) 要求聯邦政府對不支援所有「醫療必要」程序的省份進行經濟處罰，但 Liepert 堅持認為，從該法案的角度來看，程不在承保範圍內的服務在「醫療上是必要的」，並表示他預期聯邦政府不會遇到困難。
During the 2009 H1N1 pandemic, Stelmach initially announced that the government would make the vaccine available to all Albertans, though vaccine shortages resulted in a limited number of clinics, which experienced long lineups.	在 2009 年 H1N1 流感大流行期間，Stelmach 最初宣佈政府將向所有亞伯達省人提供疫苗，儘管疫苗短缺導致診所數量有限，但這些診所經歷大排長龍。
Wright died at home in London of cancer on 15 September 2008, aged 65.	London 於 2008 年 9 月 15 日在倫敦的家中因癌症去世，享年 65 歲。
At the time of his death, he had been working on a new solo album, which was thought to comprise a series of instrumental pieces.	在他去世時，他一直在製作一張新的個人專輯，該專輯被認為包括一系列樂器作品。
The surviving members of Pink Floyd paid Wright tribute.	Pink Floyd 的倖存成員向 Wright 致敬。
Waters said "it is hard to overstate the importance of his musical voice in the Pink Floyd of the '60s and '70s" and was happy that they had managed to reunite for Live 8. Mason said Wright's contributions to Floyd were under-rated, and that his playing "was the sound that knitted it all together", comparing his "quiet one" status in the band to George Harrison.	Waters 說：「很難誇大他的音樂聲音在 60 年代和 70 年代的 Pink Floyd中的重要性」，並且很高興他們能夠為 Live 8 重聚。Mason 說，Wright 對 Floyd 的貢獻被低估了，他的演奏「是將所有聲音交織在一起」，並比較將他與 George Harrison 在樂隊中的「安靜」狀態。
Gilmour called him "my musical partner and my friend", praised the ability of the two men's voices to blend, such as on "Echoes".	Gilmour 稱他為「我的音樂搭檔和我的朋友」，稱讚兩人的聲音融合能力，比如在《Echoes》中。
Wright's death brought Pink Floyd to a formal end, with Gilmour re-iterating that it would be wrong to resume touring without him.	Wright 辭世使 Pink Floyd 正式結束，Gilmour 重申，沒有他恢復巡演是錯誤的。
On the day of Wright's death, Elton John, while playing a concert in Saskatoon, Saskatchewan, Canada dedicated the song "Believe" to him.	Wright 去世當天，Elton John 在加拿大薩克其萬省薩斯卡通市 (Saskatoon, Saskatchewan, Canada) 的一場音樂會上將歌曲《Believe》獻給了他。
On 23 September, Gilmour performed "Remember a Day", a Wright composition from Pink Floyd's second album, A Saucerful of Secrets, on a live broadcast of Later... with Jools Holland on BBC Two as a tribute to Wright.	9 月 23 日，Gilmour 在《裘斯荷蘭樂之聲》(Later... With Jools Holland) 的現場廣播表演《Remember a Day》作為 Wright 對的致敬，這是 Pink Floyd 第二張專輯中由 Wright 作曲的一首歌。
In an interview later on in the show, Gilmour said that Wright had intended to perform with him that day, but that he had texted Gilmour a couple of weeks before his death to advise him that he would not be well enough to attend.	在節目後期的一次採訪中，Gilmour 說 Wright 那天打算和他一起表演，但他在去世前幾週給 Gilmour 發了簡訊，告訴他身體狀況不佳，無法參加。
Wright's main influence was jazz, particularly Miles Davis and John Coltrane.	Wright 的主要影響是爵士樂，尤其是 Miles Davis 和 John Coltrane。
He never considered himself a typical songwriter, preferring to create whole albums of music with a theme, later saying "if the words came out like the music, and we didn't have anything else to do, then quite a few would be written".	他從不認為自己是典型的詞曲作者，他更喜歡創作一整張有主題的音樂專輯，後來他說：「如果歌詞像音樂信手拈來，而我們沒有別的事情可做，就會寫出相當多的歌曲」。
A number of compositions credited to Wright came out of improvisation and randomly trying ideas, some of which were picked up enthusiastically by his band mates.	Wright 創作的許多作品都是即興創作和隨機嘗試的想法，其中一些被他的樂隊夥伴熱情地撿起來。
Wright later said "I just play and don't really think about what I'm doing, I just let it happen".	Wright 後來說：「我只是玩，並沒有真正考慮我在做什麼，我只是隨心隨性。」
Of all the Pink Floyd members, Wright was the most reserved, sitting down behind the keyboards and concentrating on the music.	在所有 Pink Floyd 成員中，Wright 最保守，他坐在鍵盤後面，專注於音樂。
In the 1970s, Wright listened to some contemporary progressive rock bands, and particularly liked early Peter Gabriel-fronted Genesis.	在 1970 年代， Wright 聽了一些當代前衛搖滾樂隊，特別喜歡早期的 Peter Gabriel 前衛 Genesis。
He later asked some of the musicians in Gabriel's solo touring band to play on Broken China.	後來，他邀請 Gabriel 的獨奏巡演樂隊中的一些音樂家在 Broken China 上演奏。
Wright enjoyed playing the organ, and considered the style he used in Pink Floyd to be unique.	Wright 喜歡演奏管風琴，並認為他在 Pink Floyd 中使用的風格是獨一無二的。
He played solos in the early part of Floyd's career, frequently using Egyptian scales, such as on "Matilda Mother" or "Set the Controls for the Heart of the Sun".	在 Floyd 職業生涯的早期，他獨奏時經常使用埃及音階，如《Matilda Mother》或《Set the Controls for the Heart of the Sun》。
His jazz background led to him being interested in free form music, with adherence to tempo being less important.	他的爵士樂背景使他對自由形式的音樂感興趣，堅持節奏並不那麼重要。
Later, he was more interested in complementing each piece with organ, electric piano or synthesizer as a backing instrument, while still featuring occasional solos.	後來，他更感興趣的是用管風琴，電鋼琴或合成器作為背景樂器來補充每首曲子，同時仍然偶爾獨奏。
Production on the episode began on September 14, 2004, and ran through to September 22.	該集的製作於 2004 年 9 月 14 日開始，一直持續到 9 月 22 日。
The standing sets were used for the first three days of filming.	拍攝的前三天採用站立式佈景。
Further sets were created to represent the Vulcan Embassy and portions of the Forge.	為了代表火神大使館和鍛造廠的一部分，還創作了更多的佈景。
The final two days were filmed on site in Simi Valley in southern California, which doubled as the main areas of the Forge.	最後兩天是在加利福尼亞州南部的西米谷 (Simi Valley) 現場拍攝，該山谷是鍛造廠的主要區域。
The property used in the valley was owned by mining company P.W. Gillibrand, which was near property owned by Vulcan Materials Company.	山谷中使用的財產由礦業公司 P.W. Gillibrand 擁有，該公司靠近 Vulcan Materials Company 擁有的財產。
Optical effects were added to represent the firestorm and the sehlat.	增添光學效果來表示火風暴和 Sehlat 獸。
The CGI sehlat was based on one which previously appeared in Star Trek: The Animated Series episode "Yesteryear".	CGI sehlat 基於之前出現在《星際爭霸戰：動畫版系列》劇集《過去的歲月》(Yesteryear) 中的一個角色。
Visual effects producer Dan Curry said that the team "looked at the animated series and it just looked nice and pleasant, so I did a couple of sketches to do a reinterpretation of it to make it look scary, but not be too radical a departure from the original".	視覺效果製作人 Dan Curry 說，團隊「看了動畫系列，它看起來很好，很愉快，所以我做了幾個草圖來重新解釋它，讓它看起來很嚇人，但又不會太激進地偏離原版」。
Eden FX modelled the CGI under supervision by staff visual effects supervisor Art Codron.	Eden FX 在工作人員視覺效果總監 Art Codron 的監督下對 CGI 進行了建模。
Additional care was taken to create the fur so that close-ups could be used if required.	在製作毛皮時還採取額外措施，可在需要時使用特寫鏡頭。
The only physical portion of the sehlat to be created was a single paw. "Yesteryear" was set in the Vulcan city Shi'Khar, which reappears in "The Forge", and it is also the first mention of the area on Vulcan called the Forge.	唯一要創作的 sehlat 有形部分是一隻爪子。《過去的歲月》以火神之城 Shi'Khar 為背景，在《鍛造廠》(The Forge) 中再次出現，這也是火神島上第一次提到被稱為鍛造廠的地區。
