There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
The teen section was significantly expanded and a new ground-floor meeting room was built.	青少年区得到了极大扩展，并新建了一个底层会议室。
The children's section was also subject to improvements, gaining new nature-inspired design elements including bird light fixtures.	儿童区也得到改进，获得了新的自然灵感设计元素，包括鸟类灯具。
Orthogenesis, also known as orthogenetic evolution, progressive evolution, evolutionary progress, or progressionism, is the biological hypothesis that organisms have an innate tendency to evolve in a definite direction towards some goal (teleology) due to some internal mechanism or "driving force".	直生论，又称定向演化、渐进演化、进化性进步或进步主义，是一种生物学假说，即生物体由于某种内在机制或“驱动力”而具有向某个目标（目的论）的明确方向演化的先天倾向。
According to the theory, the largest-scale trends in evolution have an absolute goal such as increasing biological complexity.	根据该理论，演化中最大规模的趋势有绝对目标，如增加生物复杂性。
Prominent historical figures who have championed some form of evolutionary progress include Jean-Baptiste Lamarck, Pierre Teilhard de Chardin, and Henri Bergson.	拥护某种形式演化过程的知名历史人物包括 Jean-Baptiste Lamarck、Pierre Teilhard de Chardin 和 Henri Bergson。
The term orthogenesis was introduced by Wilhelm Haacke in 1893 and popularized by Theodor Eimer five years later.	直生论由 Wilhelm Haacke 于 1893 年提出，五年后由 Theodor Eimer 推广。
Proponents of orthogenesis had rejected the theory of natural selection as the organizing mechanism in evolution for a rectilinear model of directed evolution.	直生论的支持者拒绝将自然选择理论作为定向演化直线模式的演化组织机制。
With the emergence of the modern synthesis, in which genetics was integrated with evolution, orthogenesis and other alternatives to Darwinism were largely abandoned by biologists, but the notion that evolution represents progress is still widely shared.	随着现代综合论的出现，其中遗传学与演化相结合，直生论与其他替代达尔文主义的方法在很大程度上被生物学家放弃，但演化代表进步的概念依然得到广泛认同。
The evolutionary biologist Ernst Mayr made the term effectively taboo in the journal Nature in 1948, by stating that it implied "some supernatural force".	进化论生物学家 Ernst Mayr 于 1948 年在《自然》杂志上指出，这个词暗示“某种超自然的力量”，从而使得这个词成为禁忌。
The American paleontologist George Gaylord Simpson (1953) attacked orthogenesis, linking it with vitalism by describing it as "the mysterious inner force".	美国古生物学家 George Gaylord Simpson (1953) 抨击了直生论，将其与活力论联系起来，称其为“神秘的内在力量”。
Modern supporters include E. O.	现代支持者包括 E. O.
Wilson and Simon Conway Morris, while museum displays and textbook illustrations continue to give the impression of progress in evolution.	Wilson 和 Simon Conway Morris，而博物馆展览和教科书插图继续给人以演化进步的印象。
The philosopher of biology Michael Ruse notes that in popular culture evolution and progress are synonyms, while the unintentionally misleading image of the March of Progress, from apes to modern humans, has been widely imitated.	生物学哲学家 Michael Ruse 指出，在流行文化中，演化和进步是同义词，而从猿猴到现代人类的进步进行曲这一无意中误导的形象被广泛模仿。
The term orthogenesis (from Ancient Greek ὀρθός orthós, "straight", and γένεσις génesis, "origin") was first used by the biologist Wilhelm Haacke in 1893.	生物学家 Wilhelm Haacke 在 1893 年首次使用了直生论（来自古希腊语 Greek ὀρθός orthós “直”和 γένεσις génesis “起源”）一词。
Theodor Eimer was the first to give the word a definition; he defined orthogenesis as "the general law according to which evolutionary development takes place in a noticeable direction, above all in specialized groups".	Theodor Eimer 是第一个给该词下定义的人；他将直生学定义为“某个明显的方向出现演化发展的一般规律，首先是在特定群体中发生”。
In 1922, the zoologist Michael F. Guyer wrote:	1922 年，动物学家 Michael F. Guyer 写道：
[Orthogenesis] has meant many different things to many different people, ranging from a mystical inner perfecting principle, to merely a general trend in development due to the natural constitutional restrictions of the germinal materials, or to the physical limitations imposed by a narrow environment.	[直生论]对许多不同的人来说有许多不同的含义，从神秘的内在完善原则，到仅仅由于生发材料的自然构成限制，或由于狭隘的环境所造成的物理限制而产生的一般发展趋势。
In most modern statements of the theory, the idea of continuous and progressive change in one or more characters, due according to some to internal factors, according to others to external causes-evolution in a "straight line" seems to be the central idea.	在该理论的大多数现代陈述中，一个或多个特征连续和渐进变化的观点，一些人说是由于内部因素，另一些人则说是外部原因 - “直线”演化似乎是中心思想。
According to Susan R. Schrepfer in 1983:	根据 Susan R. Schrepfer 在 1983 的说法：
Orthogenesis meant literally "straight origins", or "straight line evolution".	直生论的字面意思是“直接起源”或“直线演化”。
The term varied in meaning from the overtly vitalistic and theological to the mechanical.	从公然的活力论和神学到机械，这个词有不同的含义。
It ranged from theories of mystical forces to mere descriptions of a general trend in development due to natural limitations of either the germinal material or the environment ...	它的范围包括神秘力量理论到仅仅描述由于生发材料或环境的自然限制而导致的发展总趋势...
Few details are known about Smart's time at St Luke's Hospital for Lunatics.	关于 Smart 在 St Luke 精神病院的时间，其细节鲜为人知。
He was admitted to St Luke's on 6 May 1757 as a "Curable Patient".	他于 1757 年 5 月 6 日作为一名“可治愈的病人”进入 St Luke。
It is possible that Smart was confined at Newbery's behest over old debts and a poor relationship that existed between the two; Newbery had previously mocked Smart's immorality in A Collection of Pretty Poems for the Amusement of Children six Foot High.	可能是由于旧债和两人之间存在的恶劣关系，Smart 在 Newbery 的授意下被关进了医院；Newbery 之前在《供六英尺高儿童娱乐的精美诗歌集》中嘲笑了 Smart 不道德的行为。
Regardless of Newbery's exact reasons, there is evidence suggesting that Newbery's admittance of Smart into the mental asylum was not based on madness.	不管 Newbery 的确切理由是什么，有证据表明 Newbery 将 Smart 送进精神病院并不是因为疯魔。
To have Smart admitted, Newbery probably provided a small bribe, although bribes were against St Luke's policy.	为了让 Smart 入院，Newbery 可能提供了一小笔贿赂，尽管贿赂有违 St Luke 政策。
There is little information about Smart's condition during his stay at St Luke's, possibly because Battie's denied his patients from being visited, including by their own family members.	关于 Smart 在 St Luke 期间的病情信息少之又少，可能是因为 Battie 拒绝外人探视他的病人，包括他们自己的家人。
One of the few records that survive of Smart's time at St Luke's was an entry in St Luke's Minute Book, which read:	关于 Smart 在 St Luke 的时间，现存的少数记录之一是 St Luke 记录簿中的一条记录，内容是：
12 May 1758	1758 年 5 月 12 日
Dr. Battie having acquainted this Committee that Christopher Smart (who was admitted on the 6th day of May 1757) continues disordered in his Senses notwithstanding he has been admitted into this Hospital above 12 Calendar Months and from the present Circumstances of his Case there is not Suffit.	Battie 医生通知本委员会，Christopher Smart（1757 年 5 月 6 日入院）尽管已经入院 12 个月以上，但他的感官仍然失常，从他目前的情况来看，没有足够的
reason to expect his speedy Recovery And he being brought up and examined.	理由期望他快速康复和接受照管与检查。
Ordered.	已下达命令。
That he be discharged and that Notice be sent to his Securities to take him away.	让他出院并向他的安保发出通知，让他们把他带走。
During Smart's confinement at St Luke's, not even other doctors were allowed to see Smart unless they had received personal permission from Battie.	在 Smart 被关在 St Luke 期间，甚至其他医生也不被允许见 Smart，除非他们得到 Battie 的亲自许可。
It was improbable that Smart could have left the asylum without being released by Battie.	在没有得到 Battie 释放的情况下，Smart 是不可能离开这家精神病院的。
Even if Smart would have attempted to obtain release via legal means, the rules for subpoenaing release would have been almost impossible to follow based on the system that Battie had in place, which isolated the individual from all contact.	即便 Smart 试图通过法律手段获释，根据 Battie 制定的隔绝个人一切联系的制度，传唤释放的规则也几乎不可能被遵守。
Eventually, Smart was deemed "incurable" and would not have been released by the hospital but for its lack of funds.	最终，Smart 被认为“无法治愈”，如果不是因为缺乏资金，医院不会将其释放。
There is little information about how and why Smart was released from asylum, but his daughter claimed: "He grew better, and some misjudging friends who misconstrued Mr Newbery's great kindness in placing him under necessary & salutary restriction which might possibly have eventually wrought a cure, invited him to dinner and he returned to his confinement no more." What is known about the actual events is that John Sherratt, Christopher Smart's friend, believed that Smart's confinement was unfair and wanted to negotiate Smart's release.	关于 Smart 如何以及为何从精神病院放出来的信息少之又少，但他的女儿声称：”他逐渐好转，一些判断错误的朋友误解了 Newbery 对他进行必要且有益的限制的好意，邀请他共进晚餐，他也不再回到禁闭室。”对于实际事件，已知的信息是 Christopher Smart 的朋友 John Sherratt 认为对 Smart 的监禁不公，并希望就释放 Smart 进行协商。
In January 1763, he met with a parliamentary committee to discuss the issue of individuals falsely imprisoned and abuses that they would receive in asylums.	1763 年 1 月，他会见了议会委员会, 讨论个人被错误监禁以及他们在精神病院会遭受虐待的问题。
In particular, Sherratt argued that many were admitted for habitual intoxication, which undermined Battie's and other asylum keeper's reputations.	特别是，Sherratt 认为许多人是因习惯性醉酒而被入院，这破坏了 Battie 和精神病院其他守卫的声誉。
A finding by the parliamentary committee released 27 January 1763 bolstered Sherratt's chances to release Smart.	1763 年 1 月 27 日公布的议会委员会的调查结果支持了 Sherratt 释放 Smart 的可能性。
Carl Michael Bellman is the central figure in Swedish song, known for his 1790 Fredman's Epistles and his 1791 Fredman's Songs.	Carl Michael Bellman 是瑞典歌界的核心人物，以 1790 年的《弗里曼书信》和 1791 年的《弗里曼之歌》而闻名。
He played the cittern, accompanying himself as he performed his songs at the royal court.	他在皇家宫廷演奏他的歌曲时，会弹奏西特琴，为自己伴奏。
Jean Fredman is a fictional character and the supposed narrator in Bellman's epistles and songs, based on a real watchmaker of Bellman's Stockholm.	Jean Fredman 是一个虚构人物，也是 Bellman 的书信和歌曲中的所谓叙述者，其原型就是 Bellman 在斯德哥尔摩的一个真实的钟表匠。
The epistles paint a picture of the demimonde life of the city during the eighteenth century, where strong drink and beautiful "nymphs" like Ulla Winblad create a rococo picture of life, blending classical allusion and pastoral description with harsh reality.	书信描绘了十八世纪城市的暗娼阶层生活，那里的烈酒和像 Ulla Winblad 这样美丽的“仙女”营造了一幅洛可可式的生活画面，将古典典故和田园描述与残酷的现实融为一体。
Epistle 82 has been recorded by Fred Åkerström, where it forms the title track of his third album of Bellman interpretations, as well as by Sven-Bertil Taube.	82 号书信由 Fred Åkerström 和 Sven-Bertil Taube 录制，成为他第三章 Bellman 演绎专辑的主打曲目。
It has been translated into English by Eva Toller.	它已被 Eva Toller 翻译成英文。
The song has featured in at least 16 Swedish films from 1929 onwards.	从 1929 年起，这首歌至少在 16 部瑞典电影中出现过。
Lars Lönnroth, writing in Svenska Dagbladet, suggests that the "spring" in the Epistle was in fact not a stream in summer meadows but a fashionable spa, perhaps Djurgårsbrunn on what was in Bellman's time the edge of Stockholm.	Lars Lönnroth 在 Svenska Dagbladet 中写道，书信中的“春天”其实不是夏天草地上的溪流，而是时尚的 spa，也许是 Bellman 时代斯德哥尔摩边缘的 Djurgårsbrunn。
Henrik Mickos, in the 2011 Bellman lecture, discussed what the "pimpinella" of the first verse might be, concluding that salad burnet (Sanguisorba minor) was quite likely, given it was known at the time as pimpinella, and was more common in Sweden then than it is now.	Henrik Mickos 在 2011 年的 Bellman 讲座中讨论了第一节的“pimpinella”可能是什么，结论是很可能是小地榆 (Sanguisorba minor) ，因为当时它被称为 pimpinella，而且那时在瑞典比现在更常见。
Mickos dismisses the possibility that it was aniseed (Pimpinella anisum), which was used to flavour brännvin but not as the song has it ("red wine and pimpinella") a wine-based punch.	Mickos 否定了这是八角茴香 (Pimpinella anisum) 的可能性，茴香是用来给 brännvin 调味的，但不是像歌曲中所说的那样（“红酒和茴香”）是一种葡萄酒潘趣。
Writing for The Boston Globe, Michael Andor Brodeur argued that while the show may feel like an advertisement for emoji, "the most satisfying part is watching self-proclaimed enthusiasts of the form stumble through their symbols once the difficulty is ever-so-slightly notched up....watching so much get lost in translation feels like a win.	Michael Andor Brodeur 为《波士顿环球报》撰文指出，虽然该节目可能感觉像是表情符号的广告，但“最令人满意的部分是看着自称为该形式的爱好者，一旦难度稍微提高，就只能勉强完成他们的符号...看到转换过程中失去了这么多信息，感觉是一种胜利。
In terms of ratings, the series' first two episodes debuted to 336,000 and 322,000 respective viewers, with a 0.10 and 0.09 18–49 rating respectively.	在收视率方面，该系列前两集的观众分别为 336,000 和 322,000 人，18–49 岁人群中的收视率分别为 0.10 和 0.09。
The episode followed up on the plot introduced in the final instalment of the second season in which a probe from an unknown alien race attacks Earth.	这一集延续了第二季最后一集介绍的情节，其中一个来自未知外星种族的探测器袭击了地球。
A number of new sets and costumes were required, with preparations beginning for some departments up to three weeks before filming began.	需要一些新的布景和服装，一些部门在开拍前三周就开始进行准备。
One change which was made was a new outfit for T'Pol, with costume tests taking place a week before filming began.	其中一个变化是为 T'Pol 换了新装，在开拍前一周进行了服装测试。
The redesign was because of studio executives wanting the show to appeal more to the 18–49 male demographic.	重新设计的原因是制片厂高层希望该剧能够更多地吸引 18-49 岁的男性人群。
The production team looked to the mid-series boost that the introduction of Seven of Nine provided on Star Trek: Voyager and sought for Enterprise to appeal to that demographic in the same manner.	制作团队参考了《星际迷航：航海家号》中引入九之七所带来的中期系列推进，并寻求企业号以同样的方式吸引该人群。
Kate O'Hara of New York Magazine later joked in reference to the change, "Women of the future will certainly choose to wear tight, uncomfortable, skin-tight catsuits!"	纽约杂志的 Kate O'Hara 后来在谈到这一变化时开玩笑说：“未来的女性肯定会选择穿紧身、不舒服的连体衣。”
"The Xindi" was seen as a new pilot by executive producers Brannon Braga and Rick Berman, who also wrote the episode.	“新地”被执行制片人 Brannon Braga 和 Rick Berman 看做是新试播集，他们也是这一集的编剧。
Braga said "We were re-establishing an Enterprise that was going to be a little bit different this year, so we had to think of it in those terms." They felt the best way to do this was to immediately reveal the Xindi to the audience, and to give the MACOs something to do in order to introduce them as well.	Braga 说：“我们正在重建企业号，今年会有点不同，所以我们必须从这些方面考虑。”他们认为做到这一点的最好方法就是立即向观众展示新地，给 MACO 安排一些事情做以便引入他们。
He called it a "big episode" as they sought to set up the rest of season.	他称这是一个“大集”，因为他们要为该季的其余部分做准备。
The shoot began on June 26, 2003, with the expectation that it would take nine days (as opposed to the usual seven) to complete.	拍摄于 2003 年 6 月 26 日开始，预计需要 9 天（而不是通常的 7 天）才能完成。
One of the special effects on the episode used ground Styrofoam which had been painted blue and processed through a wood chipper.	这一集的特效之一是使用了被涂成蓝色并通过碎木机处理过的聚苯乙烯泡沫塑料。
It was used to represent the mineral Trellium-D within the mine.	它被用来代表矿井中的矿物 Trellium-D。
However, the ground Styrofoam stuck to the actors' shoes and costumes and ended up being spread throughout the Paramount lot where the series was filmed.	然而，地面上的泡沫塑料粘在了演员的鞋服上，最后散落在拍摄该剧的派拉蒙摄制场。
It would turn up in unexpected places on set for the rest of the series, and was found in among the sets as they were being dismantled after the end of season four.	它会在该系列的其余部分出现在片场意想不到的地方，并在第四季结束后被拆除时在片场发现。
"The Xindi" featured several actors who would go on to recur in their roles throughout the third season of Enterprise.	“新地”中有几位演员，他们将在《企业号》第三季继续扮演其角色。
These included the MACO marines under the command of Major Hayes, played by Steven Culp.	其中包括由 Steven Culp 饰演的海斯少校指挥的 MACO 海军陆战队。
At the time of his appearance in "The Xindi", he felt that he did not have any characterisation to work with.	在出演“新地”时，他觉得自己没有任何角色刻画可言。
During the production of his second episode, "The Shipment", Culp read an article in the Los Angeles Times about a troubled youth who joined the military and in serving in the Iraq War had found himself.	在制作第二集“战舰”时，Culp 读到了《洛杉矶时报》上的一篇文章，其中讲述了一名问题青年参军并在伊拉克战争中服役时找到自我。
After discussing it with the director, this became the basis for the character.	在与导演讨论后，这成为了这个角色的基础。
Daniel Dae Kim made his first of three appearances in "The Xindi" as Corporal Chang; he had previously appeared as Gotana-Retz in the Voyager episode "Blink of an Eye".	Daniel Dae Kim 在“新地”中首次出场，饰演张下士；他曾在《航海家号》的“眨眼”这一集中饰演 Gotana-Retz。
The band were afforded more time to record than previous endeavors, and were listening to music such as Jawbreaker, Bad Religion and Lagwagon, which influenced the album.	与以前的努力相比，乐队获得了更多的时间来录音，并聆听了对专辑产生影响的 Jawbreaker、Bad Religion 和 Lagwagon 等音乐。
For production duties, the band worked with Mark Trombino, who provided additional piano and keyboards on Dude Ranch.	在制作方面，乐队与 Mark Trombino 合作，他在“观光牧场”中提供了额外的钢琴和键盘。
The trio picked him based on his work he had done on Jimmy Eat World's Static Prevails (1996). The group spent time trying to amuse Trombino, to no avail.	这个三人组是根据他为 Jimmy Eat World 的“静占上风”(1996) 所做的工作而挑选了他。该小组花了一些时间试图逗乐 Trombino，但无济于事。
Hoppus' sister, Anne Hoppus, described Trombino as very quiet during the sessions.	Hoppus 的妹妹 Anne Hoppus 描述说，Trombino 在会议期间非常安静。
Trombino, in a retrospective piece about the album, mentioned that he was "excited, but also nervous and intimidated.	Trombino 在关于这张专辑的回顾文章中提到，他“很兴奋，但也很紧张和害怕。
I felt weird that there were these guys who had sold way more records than I had ever sold and I'm sitting in the producer’s chair telling them what to do." Dude Ranch was recorded Big Fish Studios in Rancho Santa Fe, California in December 1996.	我觉得很奇怪，这些人的唱片销量远超于我，而我却坐在制片人的椅子上告诉他们该怎么做。”“观光牧场”于 1996 年 12 月在加州 Rancho Santa Fe 的大鱼录音棚录制。
Big Fish was a converted guesthouse which had just survived a wildfire months before.	大鱼是一间经过改造的宾馆，几个月前刚从一场野火中幸存下来。
However, the gloomy atmosphere did not faze Blink-182 at all, and what was a tragedy to local individuals became fodder for jokes for the group.	然而，阴暗的气氛丝毫没有让 Blink-182 感到害怕，对当地人来说是一场悲剧，但对这个团体来说却成了笑料的素材。
Bassist Mark Hoppus had just bought a new video camera and he filmed stunts with guitarist Tom DeLonge on the burnt landscape in spare time.	贝斯手 Mark Hoppus 刚刚买了一台新摄像机，他在业余时间与吉他手Tom DeLonge 在被烧毁的景观上拍摄了特技表演。
Despite this, Trombino was impressed by their work ethic: "They were the most business-centric band I'd ever seen at that point.	尽管如此，Trombino 对他们的工作态度印象深刻：“他们是我在那时见过的最以商业为中心的乐队。
They had their shit together."	他们很振作。”
Despite the creative boom while writing lyrics for the album, all three members of Blink-182 faced setbacks while recording Dude Ranch.	尽管在为专辑创作歌词时创意澎湃，但 Blink-182 的三位成员在录制“观光牧场”时都面临挫折。
DeLonge was having vocal problems and spent much time recording and re-recording vocal tracks, and Hoppus realized he too was having difficulty singing after losing his voice during a one-off Christmas concert.	DeLonge 的嗓子出了问题，花了很多时间录制和重录人声曲目，Hoppus 在一场一次性的圣诞音乐会上失声后，发现他也出现了歌唱困难。
Hoppus realized the magnitude of the situation and cancelled the final week of recording in December 1996.	Hoppus 意识到情况的严重，取消了 1996 年 12 月最后一周的录音。
He quit smoking in order to take care of his voice, which was stressed due to lack of vocal warm-ups, full days of vocal tracks, and the strain of singing for "Dammit", which was accidentally written just outside his vocal range.	为照顾他的嗓子，他戒了烟，由于缺乏声乐热身、成天的声乐曲目以及歌唱“Dammit”的压力，这首歌意外地写在他的音域之外。
Meanwhile, Raynor had to record his drum tracks while still in his wheelchair, the result of injuries sustained at the signing party.	同时，由于 Raynor 在签名会上受伤，他不得不在轮椅上录制鼓音轨。
He would wheelchair up to the drum set and scoot onto the drum throne and play," remembered Trombino in a later interview.	在后来的采访中，Trombino 回忆道：“他坐着轮椅来到架子鼓前，溜到鼓座上演奏。
"I got the sense that [the band] were bummed." Aside from the recording, the band spent time playing Crash Bandicoot and "reading the articles from the shelves and shelves of Playboys that the studio had thoughtfully provided." The group ate lunch nearly each day at Sombrero, a local Mexican restaurant namedropped in "Josie", and Chinese for dinner from Encinitas' Pick Up Stix.	“我感觉到[乐队]很沮丧。”除了录音之外，乐队还花时间演奏 Crash Bandicoot，并“阅读录音棚贴心提供的《花花公子》书架上的文章。” 这群人几乎每天都在“乔西”中提到的当地墨西哥餐厅 Sombrero 用午餐，晚餐则是在 Encinitas 的 Pick Up Stix 用中餐。
It would be January 1997 until the band would be able to wrap up sessions for Dude Ranch, eventually amounting to five weeks of recording.	直到 1997 年 1 月，乐队才得以结束“观光牧场”的录音，最终录制了五周时间。
For the final touches, Unwritten Law frontman Scott Russo donated a few vocal tracks to "Josie", and Trombino let Blink-182 record a couple of jokes between songs using a sound-effects machine he owned.	在最后的润色中，Unwritten Law 的主唱 Scott Russo 为“乔西”献出了几首人声曲目，Trombino 让 Blink-182 用他的一台音效机在歌曲之间录制了几个笑话。
Plunketts Creek is in the West Branch Susquehanna River drainage basin, the earliest recorded inhabitants of which were the Susquehannocks.	普朗克提溪位于萨斯奎哈纳河流域的西支流，那里有记录的最早居民是萨斯奎汉诺克人。
Their numbers were greatly reduced by disease and warfare with the Five Nations of the Iroquois, and by 1675 they had died out, moved away, or been assimilated into other tribes.	由于疾病和与易洛魁五部落联盟的战争，他们的人数极大减少，到 1675 年，他们已经灭绝、迁往别处或被其他部落同化。
The West Branch Susquehanna River valley was subsequently under the nominal control of the Iroquois, who invited displaced tribes, including the Lenape (Delaware) and Shawnee to live in the lands vacated by the Susquehannocks.	萨斯奎哈纳河谷西支流后来名义上由易洛魁人控制，他们邀请包括德拉瓦族（特拉华）和肖尼族在内无家可归的部落在萨斯奎哈诺克人腾出的土地上生活。
The French and Indian War (1754–1763) led to the migration of many Native Americans westward to the Ohio River basin.	法国印第安人战争 (1754–1763) 导致许多美洲原住民向西迁徙至俄亥俄河流域。
On November 5, 1768, the British acquired the New Purchase from the Iroquois in the Treaty of Fort Stanwix, including what is now Plunketts Creek.	1768 年 11 月 5 日，英国人签订斯坦维克斯堡条约，从易洛魁人手中买下这片土地，包括现在的普朗克提溪。
The first settlement along the creek by European colonists took place between 1770 and 1776.	1770 年至 1776 年，欧洲殖民者沿着这条小溪建立了第一个定居点。
Plunketts Creek is named for Colonel William Plunkett, a physician, who was the first president judge of Northumberland County after it was formed in 1772.	普朗克提溪是以科洛内尔•威廉•普朗克提医生命名的，他是 1772 年诺森伯兰县成立后的首任主审法官。
During conflicts with Native Americans, he treated wounded settlers and fought the natives.	在与美洲原住民的冲突中，他救治了受伤的殖民者并与原住民战斗。
Plunkett led a Pennsylvania expedition in the Pennamite-Yankee War to forcibly remove settlers from Connecticut, who had claimed and settled on lands in the Wyoming Valley also claimed by Pennsylvania.	普朗克提在宾那迈与扬基之战中领导一支宾夕法尼亚探险队，将殖民者从康涅狄格州强行驱离，这些殖民者曾声称拥有怀俄明山谷的土地并定居在那里，而宾夕法尼亚州同样声称拥有那片土地。
For his services, Plunkett was granted six tracts of land that totaled 1,978 acres (800 ha) on November 14, 1776, although the land was not actually surveyed until September 1783.	为了表彰他的贡献，1776 年 11 月 14 日，普朗克提获得六块总共 1,978 英亩（800 公顷）的土地，但直到 1783 年 9 月才对这片土地进行实际测量。
Plunkett's land included the creek's mouth, so Plunketts Creek was given his name.	普朗克提的土地中包含这条小溪的河口，因此普朗克提溪以他的名字命名。
He died in 1791, aged about 100, and was buried in Northumberland without a grave marker or monument (except for the creek that bears his name).	他于 1791 年去世，享年 100 岁左右，安葬于诺森伯兰县，没有墓碑或纪念碑（除了以他的名字命名的小溪）。
Lycoming County was formed from Northumberland County in 1795.	莱康明县于 1795 年由诺森伯兰县成立。
When Plunketts Creek Township was formed in Lycoming County in 1838, the original name proposed was "Plunkett Township", but Plunkett's lack of active support for the American Revolution some years earlier had led some to believe his loyalty lay with the British Empire.	1838 年，普朗克提溪镇在莱康明县成立时，最初提议的名称是“普朗克提镇”，但几年前普朗克提没有对美国独立战争提供积极的支持，导致有些人认为他效忠于大英帝国。
The lingering suspicion of his loyalist sympathies led to the proposed name being rejected.	由于仍然怀疑他是否支持他所效忠的人，因此该提议名称被拒绝。
Naming the township for the creek rather than its namesake was seen as an acceptable compromise.	用这条小溪而不是同名之人的名字命名该镇被认为是一种可以接受的折中方案。
In 1832, John Barbour built a sawmill on Loyalsock Creek near the mouth of Plunketts Creek.	1832 年，约翰•巴伯在普朗克提溪河口附近的洛亚尔索克溪上建了一座锯木厂。
This developed into the village of Barbours Mills, today known as Barbours.	这就发展形成了巴伯米尔斯村，如今称为巴伯斯。
In the 19th century, Barbours had several blacksmiths, a temperance hotel, post office, many sawmills, a school, store and wagon maker.	在 19 世纪，巴伯斯有几个铁匠、一家禁酒旅馆、邮局、许多锯木厂、一所学校、商店和马车制造商。
In 1840, a road was built north from Barbours along Plunketts Creek, crossing it several times.	1840 年，从巴伯斯向北沿着普朗克提溪修建了一条马路，这条马路多次穿过小溪。
Rubidium was discovered in 1861 by Robert Bunsen and Gustav Kirchhoff, in Heidelberg, Germany, in the mineral lepidolite through flame spectroscopy.	1861 年，罗伯特•本生和古斯塔夫•基尔霍夫于德国海德堡通过火焰光谱法在矿物锂云母中发现铷。
Because of the bright red lines in its emission spectrum, they chose a name derived from the Latin word rubidus, meaning "deep red".	由于其发射光谱中有明亮的红色线条，他们选择了一个源自拉丁语 rubidus 的名字，意为“深红色”。
Rubidium is a minor component in lepidolite.	铷是锂云母中的微量成分。
Kirchhoff and Bunsen processed 150 kg of a lepidolite containing only 0.24% rubidium oxide (Rb₂O).	基尔霍夫和本生处理了 150 kg 的锂云母，其中仅含 0.24% 的一氧化铷 (Rb₂O)。
Both potassium and rubidium form insoluble salts with chloroplatinic acid, but those salts show a slight difference in solubility in hot water.	钾和铷均与氯铂酸形成不溶性盐，但这些盐在热水中的溶解度略有不同。
Therefore, the less soluble rubidium hexachloroplatinate (Rb₂PtCl₆) could be obtained by fractional crystallization.	因此，溶解度更低的六氯铂酸铷 (Rb₂PtCl₆) 可以通过分离结晶方法获得。
After reduction of the hexachloroplatinate with hydrogen, the process yielded 0.51 grams of rubidium chloride for further studies.	用氢还原六氯铂酸铷后，该过程产生 0.51 克氯化铷供进一步研究。
Bunsen and Kirchhoff began their first large-scale isolation of caesium and rubidium compounds with 44,000 litres (12,000 US gal) of mineral water, which yielded 7.3 grams of caesium chloride and 9.2 grams of rubidium chloride.	本生和基尔霍夫开始用 44,000 升（12,000 美制加仑）矿泉水，首次大规模分离铯和铷成分，产生 7.3 克氯化铯和 9.2 克氯化铷。
Rubidium was the second element, shortly after caesium, to be discovered by spectroscopy, just one year after the invention of the spectroscope by Bunsen and Kirchhoff.	铷是继发现铯后不久，通过光谱学发现的第二个元素，而这仅发生在本生和基尔霍夫发明光谱仪一年后。
The two scientists used the rubidium chloride to estimate that the atomic weight of the new element was 85.36 (the currently accepted value is 85.47).	两位科学家利用氯化铷估算出新元素的原子量为 85.36（目前的公认值为 85.47）。
They tried to generate elemental rubidium by electrolysis of molten rubidium chloride, but instead of a metal, they obtained a blue homogeneous substance, which "neither under the naked eye nor under the microscope showed the slightest trace of metallic substance".	他们试图通过电解熔化的氯化铷生成铷元素，但他们得到的不是金属，而是蓝色的均质物质，这种物质“无论用肉眼还是显微镜观察，都丝毫没有表现出金属物质的痕迹”。
They presumed that it was a subchloride (Rb	他们推测它是一种低氯化物 (Rb
₂Cl); however, the product was probably a colloidal mixture of the metal and rubidium chloride.	₂Cl)；但是，这个产物很可能是金属与氯化铷的胶体混合物。
In a second attempt to produce metallic rubidium, Bunsen was able to reduce rubidium by heating charred rubidium tartrate.	在第二次尝试生成金属铷时，本生能够通过加热焦化的酒石酸降低铷的含量。
Although the distilled rubidium was pyrophoric, they were able to determine the density and the melting point.	虽然蒸馏出的铷会自燃，但他们能够确定密度和熔点。
The quality of this research in the 1860s can be appraised by the fact that their determined density differs by less than 0.1 g/cm³ and the melting point by less than 1 °C from the presently accepted values.	19 世纪 60 年代的这项研究的质量值得肯定：因为他们确定的密度与目前的公认值相差小于 0.1 g/cm³，而熔点则相差小于 1 °C。
The slight radioactivity of rubidium was discovered in 1908, but that was before the theory of isotopes was established in 1910, and the low level of activity (half-life greater than 10¹⁰ years) made interpretation complicated.	铷的轻微放射性是在 1908 年发现的，但这是在 1910 年同位素理论建立之前，而且其低水平的活性（半衰期大于 10¹⁰ 年）导致解释起来相当复杂。
The now proven decay of ⁸⁷Rb to stable ⁸⁷Sr through beta decay was still under discussion in the late 1940s.	现在已经证实的 ⁸⁷Rb 通过贝塔衰变，衰变到稳定的 ⁸⁷Sr 的过程在 20 世纪 40 年代后期仍在讨论中。
Rubidium had minimal industrial value before the 1920s.	在 20 世纪 20 年代以前，铷的工业价值很小。
Since then, the most important use of rubidium is research and development, primarily in chemical and electronic applications.	从那以后，铷的最重要用途是研究和开发，主要用于化学和电子应用。
